ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	subunits(Gene name)	SWISSPROT organism	Subunits comment	Complex comment	subunits(Gene name syn)	Disease comment	PubMed ID
970	Rab11Fip2-Ap2a complex	Mouse	None	None	P17426;Q3U366	11771;74998	MI:0096-pull down	GO:0006898	receptor-mediated endocytosis	20.09.18.09.01.01	receptor-mediated endocytosis	AP-2 complex subunit alpha-1;Putative uncharacterized protein	Ap2a1;Rab11fip2	Mus musculus (Mouse);Mus musculus (Mouse)	None	Rab11-FIP2 influences endocytosis through its ability to interact with the adaptor complex AP-2.	Adtaa Clapa1;None	None	12364336
971	Rab11-Fip2-Reps1 complex	Mammalia	None	COS	O54916;Q3U366	19707;74998	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0006898	intracellular protein transport;protein targeting;protein transport;receptor-mediated endocytosis	14.04;20.01.10;20.09.18.09.01.01	protein targeting, sorting and translocation;protein transport;receptor-mediated endocytosis	RalBP1-associated Eps domain-containing protein 1 ;Putative uncharacterized protein	Reps1;Rab11fip2	Mus musculus (Mouse);Mus musculus (Mouse)	None	None	;None	None	12364336
972	MRN complex (MRE11-RAD50-NBN complex)	Human	RAD50-MRE11-P95 complex; MRE11 complex	None	O60934;P49959;Q92878	4683;4361;10111	MI:0226-ion exchange chromatography;MI:0006-anti bait coimmunoprecipitation;MI:0071-molecular sieving	GO:0006308;GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA catabolic process;DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	01.03.16.03;10.01.05.01;10.03.01.03;32.01.09;70.10	DNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	Nibrin;Double-strand break repair protein MRE11A;DNA repair protein RAD50	NBN;MRE11A;RAD50	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The implication of hMre11/hRad50/p95 protein complex in NBS reveals a direct molecular link between DSB repair and cell cycle checkpoint functions.	NBS, NBS1, P95;HNGS1, MRE11;None	Rad50-MRE11-p95 protein complex is involved in Nijmegen breakage syndrome.	9590181
973	Sec61alpha-CollagenIV-Hsp47 complex	Mouse	None	None	P02463;P19324;P61620	12826;12406;53421	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0006461;GO:0005783	intracellular protein transport;protein targeting;protein transport;protein complex assembly;endoplasmic reticulum	14.04;20.01.10;14.10;70.07	protein targeting, sorting and translocation;protein transport;assembly of protein complexes;endoplasmic reticulum	Collagen alpha-1;Serpin H1 ;Protein transport protein Sec61 subunit alpha isoform 1	Col4a1;Serpinh1;Sec61a1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Sec61a may form complexes with Hsp47 and other ER proteins during the constitutive synthesis of collagen IV by F9 cells after retinoic acid treatment.	;Cbp1 Hsp47;Sec61a	None	12532224
974	EED-EZH2 complex	Human	ESC-E(Z) complex; H3-specific methyltransferase complex	None	O75530;Q09028;Q15022;Q15910;Q6ZN18	8726;5928;23512;2146;121536	MI:0091- chromatography technologies; MI:0071- molecular sieving; MI:0006- anti bait coimmunoprecipitation	GO:0006265;GO:0032774;GO:0018126;GO:0006479;GO:0051276;GO:0005634	DNA topological change;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus	10.01.09.05;11.02;14.07.09;42.10.03;70.10	DNA conformation modification (e.g. chromatin);RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus	Polycomb protein EED;Histone-binding protein RBBP4;Polycomb protein SUZ12;Histone-lysine N-methyltransferase EZH2;Zinc finger protein AEBP2	EED;RBBP4;SUZ12;EZH2;AEBP2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The results support a model in which ESC-E(Z)-mediated H3-K27 methylation serves as a signal for the recruitment of the PRC1 complex by facilitating PC binding.	None;RBAP48;CHET9, JJAZ1, KIAA0160;KMT6;	None	12351676
975	Ocrl-Cdc42 complex	Mouse	None	None	P60766;Q6NVF0	12540;320634	MI:0096- pull down	GO:0006886;GO:0006605;GO:0015031;GO:0005794	intracellular protein transport;protein targeting;protein transport;Golgi apparatus	14.04;20.01.10;70.08	protein targeting, sorting and translocation;protein transport;Golgi	Cell division control protein 42 homolog;Inositol polyphosphate 5-phosphatase OCRL-1	Cdc42;Ocrl	Mus musculus (Mouse);Mus musculus (Mouse)	None	Cdc42 associates significantly with OCRL1 RhoGAP in GST pulldown and membrane translocation assays, no interaction between endogenous OCRL1 and Cdc42 could be detected in coimmunoprecipitation experiments (PMID:12915445).	None;	None	12915445
976	SNARE complex (Stx1a, Snap25, Vamp2)	Rat	None	brain	P32851;P60881;P63045	116470;25012;24803	MI:0019- coimmunoprecipitation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-1A;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2	Stx1a;Snap25;Vamp2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Sap;Snap;Syb2	None	15975093
977	SNARE complex (Stx2, Snap25, Vamp2)	Rat	None	brain	P50279;P60881;P63045	25130;25012;24803	MI:0019- coimmunoprecipitation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-2 ;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2	Stx2;Snap25;Vamp2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Epim;Snap;Syb2	None	15975093
978	SNARE complex (Stx3, Snap25, Vamp2)	Rat	None	brain	P60881;P63045;Q08849	25012;24803;81802	MI:0019- coimmunoprecipitation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2;Syntaxin-3	Snap25;Vamp2;Stx3	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Snap;Syb2;Stx3a	None	15975093
979	SNARE complex (Stx4, Snap25, Vamp2)	Rat	None	brain	P60881;P63045;Q08850	25012;24803;81803	MI:0019- coimmunoprecipitation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2;Syntaxin-4	Snap25;Vamp2;Stx4	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Snap;Syb2;Stx4a	None	15975093
980	SNARE complex (Stx4, Snap25, Vamp2, Syt1)	Rat	None	brain	P21707;P60881;P63045;Q08850	25716;25012;24803;81803	MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptotagmin-1;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2;Syntaxin-4	Syt1;Snap25;Vamp2;Stx4	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None;Snap;Syb2;Stx4a	None	15975093
981	SNARE complex (Stx3, Snap25, Vamp2, Syt1)	Rat	None	brain	P21707;P60881;P63045;Q08849	25716;25012;24803;81802	MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptotagmin-1;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2;Syntaxin-3	Syt1;Snap25;Vamp2;Stx3	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None;Snap;Syb2;Stx3a	None	15975093
982	SNARE complex (Stx2, Snap25, Vamp2, Syt1)	Rat	None	brain	P21707;P50279;P60881;P63045	25716;25130;25012;24803	MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptotagmin-1;Syntaxin-2 ;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2	Syt1;Stx2;Snap25;Vamp2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None;Epim;Snap;Syb2	None	15975093
983	SNARE complex (Stx1a, Snap25, Vamp2, Syt1)	Rat	None	brain	P21707;P32851;P60881;P63045	25716;116470;25012;24803	MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptotagmin-1;Syntaxin-1A;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2	Syt1;Stx1a;Snap25;Vamp2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None;Sap;Snap;Syb2	None	15975093
984	SNARE complex (Vamp2, Snap25, Stx1a, Cplx1)	Rat	None	brain	P32851;P60881;P63041;P63045	116470;25012;64832;24803	MI:0047-far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-1A;Synaptosomal-associated protein 25;Complexin-1;Vesicle-associated membrane protein 2	Stx1a;Snap25;Cplx1;Vamp2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Sap;Snap;None;Syb2	None	15975093
985	SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)	Rat	None	brain	P32851;P60881;P63045;P84087	116470;25012;24803;116657	MI:0047-far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-1A;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2;Complexin-2	Stx1a;Snap25;Vamp2;Cplx2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Sap;Snap;Syb2;None	None	15975093
986	SNARE complex (Stx2, Snap25, Vamp2, Cplx1)	Rat	None	brain	P50279;P60881;P63041;P63045	25130;25012;64832;24803	MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-2 ;Synaptosomal-associated protein 25;Complexin-1;Vesicle-associated membrane protein 2	Stx2;Snap25;Cplx1;Vamp2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Epim;Snap;None;Syb2	None	15975093
987	SNARE complex (Stx2, Snap25, Vamp2, Cplx2)	Rat	None	brain	P50279;P60881;P63045;P84087	25130;25012;24803;116657	MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-2 ;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2;Complexin-2	Stx2;Snap25;Vamp2;Cplx2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Epim;Snap;Syb2;None	None	15975093
988	SNARE complex (Stx3, Snap25, Vamp2, Cplx2)	Rat	None	brain	P60881;P63045;P84087;Q08849	25012;24803;116657;81802	MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2;Complexin-2;Syntaxin-3	Snap25;Vamp2;Cplx2;Stx3	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Snap;Syb2;None;Stx3a	None	15975093
989	SNARE complex (Stx3, Snap25, Vamp2, Cplx1)	Rat	None	brain	P60881;P63041;P63045;Q08849	25012;64832;24803;81802	MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptosomal-associated protein 25;Complexin-1;Vesicle-associated membrane protein 2;Syntaxin-3	Snap25;Cplx1;Vamp2;Stx3	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Snap;None;Syb2;Stx3a	None	15975093
990	Agap11-AP3 complex	Mouse	None	None	Q8BSZ2;Q8BXK8;Q8R2R9;Q9JKC8;Q9Z1T1	11778;347722;64933;55946;11774	MI:0019- coimmunoprecipitation	GO:0016192;GO:0005768	vesicle-mediated transport;endosome	20.09.07;70.22	vesicular transport (Golgi network, etc.);endosome	AP-3 complex subunit sigma-2 ;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 ;AP-3 complex subunit mu-2 ;AP-3 complex subunit mu-1 ;AP-3 complex subunit beta-1	Ap3s2;Agap1;Ap3m2;Ap3m1;Ap3b1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	;Centg2 Kiaa1099;;;	None	12967569
991	Tubulin polyglutamylase complex	Mouse	None	None	Q66JT5;Q91V51;Q91YK0;Q99MS8;Q9CQM0	66648;319953;102747;110012;66257	MI:0019- coimmunoprecipitation; MI:0069- mass spectrometry studies of complexes	GO:0048608	reproductive structure development	45.03.15	reproductive tissue	Tubulin polyglutamylase complex subunit 2 ;Probable tubulin polyglutamylase TTLL1 ;Leucine-rich repeat-containing protein 49 ;Tubulin polyglutamylase complex subunit 1 ;Nicolin-1	Tpgs2;Ttll1;Lrrc49;Tpgs1;Nicn1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	;;;Gm16517 Gtrgeo22;	None	15890843
992	Kif5a-Dtnb-Dtna complex	Rat	None	nervous tissue	D4A772;P84060;Q6QLM7	None;362715;314906	MI:0019-coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0006928	intracellular protein transport;protein targeting;protein transport;movement of cell or subcellular component	14.04;20.01.10;34.05	protein targeting, sorting and translocation;protein transport;cell motility	Dystrobrevin;Dystrobrevin beta;Kinesin heavy chain isoform 5A	Dtna;Dtnb;Kif5a	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	The authors suggest that the interaction between dystrobrevins and Kif5a/b might be important for the transport of components of the DPC to the neuronal membrane.	None;None;None	None	14600269
993	Kif5b-Dtnb complex	Mammalia	None	COS cells	O70585;Q61768	13528;16573	MI:0096-pull down	GO:0006886;GO:0006605;GO:0015031;GO:0006928	intracellular protein transport;protein targeting;protein transport;movement of cell or subcellular component	14.04;20.01.10;34.05	protein targeting, sorting and translocation;protein transport;cell motility	Dystrobrevin beta;Kinesin-1 heavy chain	Dtnb;Kif5b	Mus musculus (Mouse);Mus musculus (Mouse)	None	The authors suggest that the interaction between dystrobrevins and Kif5a/b might be important for the transport of components of the DPC to the neuronal membrane.	None;Khcs, Kns1	None	14600269
994	GAA1-GPI8-PIGT-PIG-PIGS complex	Human	None	None	O43292;Q92643;Q969N2;Q96S52;Q9H490	8733;10026;51604;94005;128869	MI:0019- coimmunoprecipitation	GO:0006644;GO:0008654;GO:0009395;GO:0005886	phospholipid metabolic process;phospholipid biosynthetic process;phospholipid catabolic process;plasma membrane	01.06.02.01;70.02	phospholipid metabolism;eukaryotic plasma membrane / membrane attached	Glycosylphosphatidylinositol anchor attachment 1 protein ;GPI-anchor transamidase ;GPI transamidase component PIG-T ;GPI transamidase component PIG-S ;Phosphatidylinositol glycan anchor biosynthesis class U protein	GPAA1;PIGK;PIGT;PIGS;PIGU	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	GAA1;GPI8;;;CDC91L1	None	14660601
997	KIN17-PCNA-RPA70 complex	Human	None	None	O60870;P12004;P27694	22944;5111;6117	MI:0040- electron microscopy; MI:0091- chromatography technologies	GO:0006260;GO:0000075;GO:0003677;GO:0016363	DNA replication;cell cycle checkpoint;DNA binding;nuclear matrix	10.01.03;10.03.01.03;16.03.01;70.10.06	DNA synthesis and replication;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;nuclear matrix	DNA/RNA-binding protein KIN17 ;Proliferating cell nuclear antigen;Replication protein A 70 kDa DNA-binding subunit	KIN;PCNA;RPA1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	This complex associates with DNA polymerase alpha.	BTCD KIN17;None;REPA1 RPA70	None	15831485
998	SNARE complex (Stx1a, Snap25, Vamp2)	Rat	None	None	P32851;P60881;P63045	116470;25012;24803	MI:0047-far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-1A;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2	Stx1a;Snap25;Vamp2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.Syntaxin, synaptosome-associated protein of 25kD (SNAP25), and vesicle-associated membrane protein/synaptobrevin are collectively called SNAP receptor (SNARE) proteins.They catalyze neuronal exocytosis by forming a "core complex".	Sap;Snap;Syb2	None	15528447
999	p23 protein complex	Human	None	None	P22626;Q15185;Q86W51	3181;10728;10016	MI:0019- coimmunoprecipitation; MI:0069- mass spectrometry studies of complexes	GO:0005515;GO:0043067	protein binding;regulation of programmed cell death	16.01;40.10.02.04	protein binding;regulation of apoptosis	Heterogeneous nuclear ribonucleoproteins A2/B1 ;Prostaglandin E synthase 3;PDCD6 protein	HNRNPA2B1;PTGES3;PDCD6	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	HNRPA2B1;P23 TEBP;	The expression of p23 is increased  after rat focal cerebral ischemia. DHNRPA2B1 is clinical marker of early lung cancer detection (PMID:10632338).	14675759
1000	TorsinA-TorsinB complex	Human	None	brain	O14656;O14657	1861;27348	MI:0019- coimmunoprecipitation	GO:0008015	blood circulation	34.11.13.07	circulation (e.g. blood pressure)	Torsin-1A;Torsin-1B	TOR1A;TOR1B	Homo sapiens (Human);Homo sapiens (Human)	None	None	DQ2 DYT1 TA TORA;DQ1	None	15147511
1001	DNA synthesome complex	Mouse	MRC complex (Multiprotein DNA Replication Complex); 17S DNA polymerase multiprotein complex; multiprotein form of DNA polymerase	None	O35654;P17918;P20664;P33609;P33610;P33611;P37913;P52431;Q01320;Q04750;Q9CWP8;Q9EQ28	18972;18538;19075;18968;19076;18969;16881;18971;21973;21969;69745;67967	MI:0226-ion exchange chromatography	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	DNA polymerase delta subunit 2;Proliferating cell nuclear antigen;DNA primase small subunit;DNA polymerase alpha catalytic subunit;DNA primase large subunit;DNA polymerase alpha subunit B;DNA ligase 1;DNA polymerase delta catalytic subunit;DNA topoisomerase 2-alpha;DNA topoisomerase 1;DNA polymerase delta subunit 4;DNA polymerase delta subunit 3	Pold2;Pcna;Prim1;Pola1;Prim2;Pola2;Lig1;Pold1;Top2a;Top1;Pold4;Pold3	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Since the authors did not specify Top2, we used Top2a.	This complex associates also with a not further characterized DNA helicase.	None;None;None;Pola;None;None;Lig-1;None;Top-2 Top2;Top-1;None;None	None	8126085
1002	Cask-Dlg1 complex	Mouse	None	None	O70589;Q811D0	12361;13383	MI:0019-coimmunoprecipitation	None	None	None	None	Peripheral plasma membrane protein CASK;Disks large homolog 1	Cask;Dlg1	Mus musculus (Mouse);Mus musculus (Mouse)	None	CASK and Dlg may act as a scaffold for organizing receptors and channels at the postsynaptic membrane of the neuromuscular junction (PMID:15266631).	mLin-2;Dlgh1, SAP97	None	15266631
1003	RC complex (Replication competent complex)	Human	None	None	P09884;P20248;P24941;P35249;P35250;P35251;P40937;P40938;Q14181	5422;890;1017;5984;5982;5981;5985;5983;23649	MI:0071- molecular sieving; MI:0029- cosedimentation through density gradients	GO:0006260;GO:0000075;GO:0003677;GO:0005694	DNA replication;cell cycle checkpoint;DNA binding;chromosome	10.01.03;10.03.01.03;16.03.01;70.10.03	DNA synthesis and replication;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;chromosome	DNA polymerase alpha catalytic subunit;Cyclin-A2 ;Cyclin-dependent kinase 2;Replication factor C subunit 4;Replication factor C subunit 2;Replication factor C subunit 1;Replication factor C subunit 5;Replication factor C subunit 3;DNA polymerase alpha subunit B	POLA1;CCNA2;CDK2;RFC4;RFC2;RFC1;RFC5;RFC3;POLA2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RC complex might be regulated by specific cyclin/Cdk complexes (PMID:12006500).	POLA;CCN1 CCNA;CDKN2;None;None;RFC140;None;None;None	None	12006500
1004	RC complex during S-phase of cell cycle	Human	None	None	P09874;P09884;P11387;P15927;P18858;P20248;P24941;P27694;P28340;P35244;P35250;P35251;Q07864	142;5422;7150;6118;3978;890;1017;6117;5424;6119;5982;5981;5426	MI:0071- molecular sieving; MI:0029- cosedimentation through density gradients; MI:0006- anti bait coimmunoprecipitation	GO:0006260;GO:0000075;GO:0003677;GO:0005694	DNA replication;cell cycle checkpoint;DNA binding;chromosome	10.01.03;10.03.01.03;16.03.01;70.10.03	DNA synthesis and replication;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;chromosome	Poly [ADP-ribose] polymerase 1;DNA polymerase alpha catalytic subunit;DNA topoisomerase 1;Replication protein A 32 kDa subunit;DNA ligase 1;Cyclin-A2 ;Cyclin-dependent kinase 2;Replication protein A 70 kDa DNA-binding subunit;DNA polymerase delta catalytic subunit;Replication protein A 14 kDa subunit;Replication factor C subunit 2;Replication factor C subunit 1;DNA polymerase epsilon catalytic subunit A	PARP1;POLA1;TOP1;RPA2;LIG1;CCNA2;CDK2;RPA1;POLD1;RPA3;RFC2;RFC1;POLE	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CDK2 associates with the RC complex only during the S-phase of the cell cycle, but disappeares in the G2-phase.	ADPRT PPOL;POLA;None;REPA2 RPA32 RPA34;None;CCN1 CCNA;CDKN2;REPA1 RPA70;POLD;REPA3 RPA14;None;RFC140;POLE1	None	12006500
